index,reactant,reagent,product,catalyst,methanol_sty,time_h,temperature_c,pressure_bar,h2_co2_ratio,ghsv_h-1,catalyst_components_count,catalyst_primary_loading_wt,source_dataset
themecat-430,O=C=O,[H][H],CO,[Pd].[Mg].[Al],0.0006,1.0,249.85000000000002,30.0,3.0,14.6,3.0,83.8,themecat
themecat-431,O=C=O,[H][H],CO,[Pd].[Zn].[Al],0.0175,1.0,249.85000000000002,30.0,3.0,14.6,3.0,83.8,themecat
themecat-432,O=C=O,[H][H],CO,[Pd].[Mg].[Ga],0.0229,1.0,249.85000000000002,30.0,3.0,14.6,3.0,83.8,themecat
themecat-433,O=C=O,[H][H],CO,[Au].[In],0.1451,1.0,299.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-434,O=C=O,[H][H],CO,[Au].[In],0.0639,1.0,274.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-435,O=C=O,[H][H],CO,[Au].[In],0.0272,1.0,249.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-436,O=C=O,[H][H],CO,[Au].[In],0.0074,1.0,224.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-437,O=C=O,[H][H],CO,[Au].[In],0.0028,1.0,199.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-438,O=C=O,[H][H],CO,[Au].[In],0.3028,1.0,299.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-439,O=C=O,[H][H],CO,[Au].[In],0.141,1.0,274.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-440,O=C=O,[H][H],CO,[Au].[In],0.1759,1.0,299.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-441,O=C=O,[H][H],CO,[Au].[In],0.0665,1.0,274.85,30.0,4.0,15.0,2.0,98.6,themecat
themecat-442,O=C=O,[H][H],CO,[Au].[In],0.0643,1.0,249.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-443,O=C=O,[H][H],CO,[Au].[In],0.0525,1.0,249.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-444,O=C=O,[H][H],CO,[Au].[In],0.008,1.0,224.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-445,O=C=O,[H][H],CO,[Au].[In],0.0075,1.0,224.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-446,O=C=O,[H][H],CO,[Au].[In],0.0018,1.0,199.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-447,O=C=O,[H][H],CO,[Au].[In],0.0021,1.0,199.85000000000002,30.0,4.0,15.0,2.0,98.6,themecat
themecat-448,O=C=O,[H][H],CO,[In],0.1155,1.0,299.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-449,O=C=O,[H][H],CO,[In],0.0033,1.0,199.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-450,O=C=O,[H][H],CO,[In],0.0145,1.0,224.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-451,O=C=O,[H][H],CO,[In],0.0285,1.0,249.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-452,O=C=O,[H][H],CO,[In],0.0619,1.0,274.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-453,O=C=O,[H][H],CO,[In],0.1419,1.0,299.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-454,O=C=O,[H][H],CO,[In],0.0046,1.0,199.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-455,O=C=O,[H][H],CO,[In],0.0138,1.0,224.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-456,O=C=O,[H][H],CO,[In],0.0366,1.0,249.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-457,O=C=O,[H][H],CO,[In],0.0738,1.0,274.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-458,O=C=O,[H][H],CO,[In],0.1612,1.0,299.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-459,O=C=O,[H][H],CO,[In],0.0052,1.0,199.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-460,O=C=O,[H][H],CO,[In],0.0182,1.0,224.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-461,O=C=O,[H][H],CO,[In],0.0472,1.0,249.85000000000002,30.0,4.0,15.0,1.0,100.0,themecat
themecat-462,O=C=O,[H][H],CO,[In],0.0948,1.0,274.85,30.0,4.0,15.0,1.0,100.0,themecat
themecat-463,O=C=O,[H][H],CO,[Pd].[In],0.8269,1.0,299.85,50.0,4.0,21.0,2.0,97.7,themecat
themecat-464,O=C=O,[H][H],CO,[Pd].[In],0.0448,1.0,199.85000000000002,50.0,4.0,21.0,2.0,97.7,themecat
themecat-465,O=C=O,[H][H],CO,[Pd].[In],0.1658,1.0,224.85000000000002,50.0,4.0,21.0,2.0,97.7,themecat
themecat-466,O=C=O,[H][H],CO,[Pd].[In],0.43,1.0,249.85000000000002,50.0,4.0,21.0,2.0,97.7,themecat
themecat-467,O=C=O,[H][H],CO,[Pd].[In],0.7327,1.0,274.85,50.0,4.0,21.0,2.0,97.7,themecat
themecat-468,O=C=O,[H][H],CO,[Pd].[In],0.7484,1.0,299.85,50.0,4.0,21.0,2.0,97.5,themecat
themecat-469,O=C=O,[H][H],CO,[Pd].[In],0.0112,1.0,199.85000000000002,50.0,4.0,21.0,2.0,97.5,themecat
themecat-470,O=C=O,[H][H],CO,[Pd].[In],0.0835,1.0,224.85000000000002,50.0,4.0,21.0,2.0,97.5,themecat
themecat-471,O=C=O,[H][H],CO,[Pd].[In],0.2338,1.0,249.85000000000002,50.0,4.0,21.0,2.0,97.5,themecat
themecat-472,O=C=O,[H][H],CO,[Pd].[In],0.5144,1.0,274.85,50.0,4.0,21.0,2.0,97.5,themecat
themecat-473,O=C=O,[H][H],CO,[In],0.3266,1.0,299.85,50.0,4.0,21.0,1.0,100.0,themecat
themecat-474,O=C=O,[H][H],CO,[In],0.0,1.0,199.85000000000002,50.0,4.0,21.0,1.0,100.0,themecat
themecat-475,O=C=O,[H][H],CO,[In],0.0112,1.0,224.85000000000002,50.0,4.0,21.0,1.0,100.0,themecat
themecat-476,O=C=O,[H][H],CO,[In],0.0547,1.0,249.85000000000002,50.0,4.0,21.0,1.0,100.0,themecat
themecat-477,O=C=O,[H][H],CO,[In],0.1474,1.0,274.85,50.0,4.0,21.0,1.0,100.0,themecat
themecat-478,O=C=O,[H][H],CO,[In],0.0909,1.0,299.85,40.0,3.0,6.0,1.0,100.0,themecat
themecat-479,O=C=O,[H][H],CO,[In],0.0799,1.0,319.85,40.0,3.0,6.0,1.0,100.0,themecat
themecat-480,O=C=O,[H][H],CO,[In],0.0791,1.0,339.85,40.0,3.0,6.0,1.0,100.0,themecat
themecat-481,O=C=O,[H][H],CO,[In],0.0709,1.0,279.85,40.0,3.0,6.0,1.0,100.0,themecat
themecat-482,O=C=O,[H][H],CO,[In],0.0575,1.0,369.85,40.0,3.0,6.0,1.0,100.0,themecat
